  ✅ 数据库初始化完成

  🚀 TechAI 资讯服务已启动
  📡 接口地址: http://localhost:3001/api
  📦 数据库: SQLite (sql.js)
  🔧 环境: development

[2026/5/10 14:38:45] GET /api/articles?page=1&pageSize=3
[2026/5/10 14:39:05] GET /api/categories
[2026/5/10 14:39:05] GET /api/categories
[2026/5/10 14:39:05] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:39:05] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:39:05] GET /api/tags
[2026/5/10 14:39:05] GET /api/articles?page=1&pageSize=10
[2026/5/10 14:39:05] GET /api/articles?featured=true&pageSize=5
[2026/5/10 14:39:10] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:39:10] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:39:10] GET /api/tags
[2026/5/10 14:39:10] GET /api/articles?category=ai-news&page=1&pageSize=20
[2026/5/10 14:39:10] GET /api/categories
[2026/5/10 14:39:11] GET /api/articles?category=cloud-computing&page=1&pageSize=20
[2026/5/10 14:39:11] GET /api/categories
[2026/5/10 14:39:12] GET /api/articles?category=nvidia-chip&page=1&pageSize=20
[2026/5/10 14:39:12] GET /api/categories
[2026/5/10 14:39:12] GET /api/articles?category=dev-tools&page=1&pageSize=20
[2026/5/10 14:39:12] GET /api/categories
[2026/5/10 14:39:14] GET /api/articles?category=cloud-computing&page=1&pageSize=20
[2026/5/10 14:39:14] GET /api/categories
[2026/5/10 14:39:14] GET /api/articles?category=ai-news&page=1&pageSize=20
[2026/5/10 14:39:14] GET /api/categories
[2026/5/10 14:39:14] GET /api/categories
[2026/5/10 14:39:14] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:39:14] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:39:14] GET /api/tags
[2026/5/10 14:39:14] GET /api/articles?page=1&pageSize=10
[2026/5/10 14:39:14] GET /api/articles?featured=true&pageSize=5
[2026/5/10 14:39:23] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:39:23] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:39:23] GET /api/tags
[2026/5/10 14:39:23] GET /api/articles/70
[2026/5/10 14:39:25] GET /api/categories
[2026/5/10 14:39:25] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:39:25] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:39:25] GET /api/tags
[2026/5/10 14:39:25] GET /api/articles?page=1&pageSize=10
[2026/5/10 14:39:25] GET /api/articles?featured=true&pageSize=5
[2026/5/10 14:39:27] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:39:27] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:39:27] GET /api/articles/74
[2026/5/10 14:39:27] GET /api/tags
[2026/5/10 14:39:30] GET /api/categories
[2026/5/10 14:39:30] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:39:30] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:39:30] GET /api/tags
[2026/5/10 14:39:30] GET /api/articles?page=1&pageSize=10
[2026/5/10 14:39:30] GET /api/articles?featured=true&pageSize=5
[2026/5/10 14:39:31] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:39:31] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:39:31] GET /api/tags
[2026/5/10 14:39:31] GET /api/articles?category=ai-news&page=1&pageSize=20
[2026/5/10 14:39:31] GET /api/categories
[2026/5/10 14:39:32] GET /api/articles?category=cloud-computing&page=1&pageSize=20
[2026/5/10 14:39:32] GET /api/categories
[2026/5/10 14:39:33] GET /api/categories
[2026/5/10 14:39:33] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:39:33] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:39:33] GET /api/articles?page=1&pageSize=10
[2026/5/10 14:39:33] GET /api/articles?featured=true&pageSize=5
[2026/5/10 14:39:33] GET /api/tags
[2026/5/10 14:39:52] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:39:52] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:39:52] GET /api/articles?category=ai-applications&page=1&pageSize=20
[2026/5/10 14:39:52] GET /api/tags
[2026/5/10 14:39:52] GET /api/categories
[2026/5/10 14:39:58] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:39:58] GET /api/articles/138
[2026/5/10 14:39:58] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:39:58] GET /api/tags
[2026/5/10 14:40:01] GET /api/categories
[2026/5/10 14:40:01] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:40:01] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:40:01] GET /api/tags
[2026/5/10 14:40:01] GET /api/articles?page=1&pageSize=10
[2026/5/10 14:40:01] GET /api/articles?featured=true&pageSize=5
[2026/5/10 14:40:03] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:40:03] GET /api/tags
[2026/5/10 14:40:03] GET /api/articles?category=tech-trends&page=1&pageSize=20
[2026/5/10 14:40:03] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:40:03] GET /api/categories
[2026/5/10 14:40:06] GET /api/categories
[2026/5/10 14:40:06] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:40:06] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:40:06] GET /api/articles?featured=true&pageSize=5
[2026/5/10 14:40:06] GET /api/tags
[2026/5/10 14:40:06] GET /api/articles?page=1&pageSize=10
[2026/5/10 14:40:32] GET /api/categories
[2026/5/10 14:40:32] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:40:32] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:40:32] GET /api/tags
[2026/5/10 14:40:32] GET /api/articles?page=1&pageSize=10
[2026/5/10 14:40:33] GET /api/articles?featured=true&pageSize=5
[2026/5/10 14:40:36] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:40:36] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:40:36] GET /api/articles?category=ai-news&page=1&pageSize=20
[2026/5/10 14:40:36] GET /api/tags
[2026/5/10 14:40:36] GET /api/categories
[2026/5/10 14:40:36] GET /api/categories
[2026/5/10 14:40:36] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:40:36] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:40:36] GET /api/tags
[2026/5/10 14:40:36] GET /api/articles?page=1&pageSize=10
[2026/5/10 14:40:36] GET /api/articles?featured=true&pageSize=5
[2026/5/10 14:40:46] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:40:46] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:40:46] GET /api/tags
[2026/5/10 14:40:46] GET /api/articles?category=ai-news&page=1&pageSize=20
[2026/5/10 14:40:46] GET /api/categories
[2026/5/10 14:40:46] GET /api/categories
[2026/5/10 14:40:46] GET /api/articles?page=1&pageSize=5
[2026/5/10 14:40:46] GET /api/articles?page=1&pageSize=10
[2026/5/10 14:40:46] GET /api/articles?page=1&pageSize=8
[2026/5/10 14:40:46] GET /api/tags
[2026/5/10 14:40:46] GET /api/articles?featured=true&pageSize=5
[2026/5/10 15:13:27] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:13:27] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:13:27] GET /api/tags
[2026/5/10 15:13:27] GET /api/articles?category=tech-trends&page=1&pageSize=20
[2026/5/10 15:13:27] GET /api/categories
[2026/5/10 15:13:32] GET /api/categories
[2026/5/10 15:13:32] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:13:32] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:13:32] GET /api/tags
[2026/5/10 15:13:32] GET /api/articles?page=1&pageSize=10
[2026/5/10 15:13:32] GET /api/articles?featured=true&pageSize=5
[2026/5/10 15:14:01] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:14:01] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:14:01] GET /api/tags
[2026/5/10 15:14:01] GET /api/articles/70
[2026/5/10 15:14:03] GET /api/categories
[2026/5/10 15:14:03] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:14:03] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:14:03] GET /api/tags
[2026/5/10 15:14:03] GET /api/articles?page=1&pageSize=10
[2026/5/10 15:14:03] GET /api/articles?featured=true&pageSize=5
[2026/5/10 15:16:30] POST /api/admin/login
[2026/5/10 15:16:31] GET /api/admin/dashboard
[2026/5/10 15:16:40] GET /api/categories
[2026/5/10 15:16:40] GET /api/admin/articles?page=1&pageSize=%5Bobject+Object%5D&status=&category=&keyword=
[2026/5/10 15:16:42] GET /api/categories
[2026/5/10 15:16:42] GET /api/tags
[2026/5/10 15:16:48] GET /api/admin/dashboard
[2026/5/10 15:16:54] GET /api/categories
[2026/5/10 15:16:54] GET /api/admin/articles?page=1&pageSize=%5Bobject+Object%5D&status=&category=&keyword=
[2026/5/10 15:17:01] GET /api/categories
[2026/5/10 15:17:01] GET /api/tags
[2026/5/10 15:17:16] GET /api/categories
[2026/5/10 15:17:16] GET /api/admin/articles?page=1&pageSize=%5Bobject+Object%5D&status=&category=&keyword=
[2026/5/10 15:24:22] GET /api/categories
[2026/5/10 15:24:22] GET /api/categories
[2026/5/10 15:24:22] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:24:22] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:24:22] GET /api/tags
[2026/5/10 15:24:22] GET /api/articles?page=1&pageSize=10
[2026/5/10 15:24:22] GET /api/articles?featured=true&pageSize=5
[2026/5/10 15:24:24] GET /api/categories
[2026/5/10 15:24:24] GET /api/categories
[2026/5/10 15:24:24] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:24:24] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:24:24] GET /api/articles?featured=true&pageSize=5
[2026/5/10 15:24:24] GET /api/tags
[2026/5/10 15:24:24] GET /api/articles?page=1&pageSize=10
[2026/5/10 15:24:25] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:24:25] GET /api/tags
[2026/5/10 15:24:25] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:24:25] GET /api/articles?category=ai-news&page=1&pageSize=20
[2026/5/10 15:24:25] GET /api/categories
[2026/5/10 15:24:25] GET /api/categories
[2026/5/10 15:24:25] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:24:25] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:24:25] GET /api/tags
[2026/5/10 15:24:26] GET /api/articles?page=1&pageSize=10
[2026/5/10 15:24:26] GET /api/articles?featured=true&pageSize=5
[2026/5/10 15:24:39] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:24:39] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:24:39] GET /api/tags
[2026/5/10 15:24:39] GET /api/articles?category=ai-news&page=1&pageSize=20
[2026/5/10 15:24:39] GET /api/categories
[2026/5/10 15:24:40] GET /api/articles?category=cloud-computing&page=1&pageSize=20
[2026/5/10 15:24:40] GET /api/categories
[2026/5/10 15:24:40] GET /api/categories
[2026/5/10 15:24:40] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:24:40] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:24:40] GET /api/tags
[2026/5/10 15:24:40] GET /api/articles?page=1&pageSize=10
[2026/5/10 15:24:40] GET /api/articles?featured=true&pageSize=5
[2026/5/10 15:37:36] GET /api/categories
[2026/5/10 15:37:37] GET /api/categories
[2026/5/10 15:37:37] GET /api/categories
[2026/5/10 15:37:37] GET /api/categories
[2026/5/10 15:37:37] GET /api/categories
[2026/5/10 15:37:38] GET /api/categories
[2026/5/10 15:37:42] GET /api/categories
[2026/5/10 15:37:42] GET /api/categories
[2026/5/10 15:37:42] GET /api/categories
[2026/5/10 15:37:42] GET /api/categories
[2026/5/10 15:37:42] GET /api/categories
[2026/5/10 15:37:43] GET /api/categories
[2026/5/10 15:37:43] GET /api/categories
[2026/5/10 15:37:43] GET /api/categories
[2026/5/10 15:37:43] GET /api/categories
[2026/5/10 15:45:31] GET /api/categories
[2026/5/10 15:45:32] GET /api/categories
[2026/5/10 15:45:32] GET /api/categories
[2026/5/10 15:45:32] GET /api/categories
[2026/5/10 15:45:33] GET /api/categories
[2026/5/10 15:45:33] GET /api/categories
[2026/5/10 15:45:33] GET /api/categories
[2026/5/10 15:45:33] GET /api/categories
[2026/5/10 15:45:33] GET /api/categories
[2026/5/10 15:45:35] GET /api/categories
[2026/5/10 15:45:35] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:45:35] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:45:35] GET /api/tags
[2026/5/10 15:45:35] GET /api/articles?page=1&pageSize=10
[2026/5/10 15:45:35] GET /api/categories
[2026/5/10 15:45:35] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:45:35] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:45:35] GET /api/tags
[2026/5/10 15:45:35] GET /api/articles?page=1&pageSize=10
[2026/5/10 15:45:35] GET /api/articles?featured=true&pageSize=5
[2026/5/10 15:45:39] GET /api/categories
[2026/5/10 15:45:39] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:45:39] GET /api/articles?page=1&pageSize=10
[2026/5/10 15:45:39] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:45:39] GET /api/tags
[2026/5/10 15:45:39] GET /api/categories
[2026/5/10 15:45:39] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:45:39] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:45:39] GET /api/articles?page=1&pageSize=10
[2026/5/10 15:45:39] GET /api/tags
[2026/5/10 15:45:41] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:45:41] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:45:41] GET /api/tags
[2026/5/10 15:45:41] GET /api/articles?category=ai-news&page=1&pageSize=20
[2026/5/10 15:45:41] GET /api/categories
[2026/5/10 15:45:42] GET /api/categories
[2026/5/10 15:45:42] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:45:42] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:45:42] GET /api/tags
[2026/5/10 15:45:42] GET /api/articles?page=1&pageSize=10
[2026/5/10 15:45:44] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:45:44] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:45:44] GET /api/tags
[2026/5/10 15:45:44] GET /api/articles/70
[2026/5/10 15:45:45] GET /api/categories
[2026/5/10 15:45:45] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:45:45] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:45:45] GET /api/tags
[2026/5/10 15:45:45] GET /api/articles?page=1&pageSize=10
[2026/5/10 15:45:49] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:45:49] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:45:49] GET /api/tags
[2026/5/10 15:45:49] GET /api/articles?category=ai-news&page=1&pageSize=20
[2026/5/10 15:45:49] GET /api/categories
[2026/5/10 15:45:50] GET /api/articles?category=cloud-computing&page=1&pageSize=20
[2026/5/10 15:45:50] GET /api/categories
[2026/5/10 15:45:51] GET /api/articles?category=nvidia-chip&page=1&pageSize=20
[2026/5/10 15:45:51] GET /api/categories
[2026/5/10 15:45:52] GET /api/articles?category=dev-tools&page=1&pageSize=20
[2026/5/10 15:45:52] GET /api/categories
[2026/5/10 15:45:52] GET /api/categories
[2026/5/10 15:45:52] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:45:52] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:45:52] GET /api/tags
[2026/5/10 15:45:52] GET /api/articles?page=1&pageSize=10
[2026/5/10 15:45:54] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:45:54] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:45:54] GET /api/tags
[2026/5/10 15:45:54] GET /api/articles?category=ai-news&page=1&pageSize=20
[2026/5/10 15:45:54] GET /api/categories
[2026/5/10 15:45:55] GET /api/categories
[2026/5/10 15:45:55] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:45:55] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:45:55] GET /api/tags
[2026/5/10 15:45:55] GET /api/articles?page=1&pageSize=10
[2026/5/10 15:45:56] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:45:56] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:45:56] GET /api/tags
[2026/5/10 15:45:56] GET /api/articles?category=cloud-computing&page=1&pageSize=20
[2026/5/10 15:45:56] GET /api/categories
[2026/5/10 15:45:58] GET /api/categories
[2026/5/10 15:45:58] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:45:58] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:45:58] GET /api/tags
[2026/5/10 15:45:58] GET /api/articles?page=1&pageSize=10
[2026/5/10 15:46:05] GET /api/categories
[2026/5/10 15:46:05] GET /api/admin/articles?page=1&pageSize=%5Bobject+Object%5D&status=&category=&keyword=
[2026/5/10 15:46:06] GET /api/admin/dashboard
[2026/5/10 15:46:57] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:46:57] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:46:57] GET /api/tags
[2026/5/10 15:46:57] GET /api/articles?category=ai-news&page=1&pageSize=20
[2026/5/10 15:46:57] GET /api/categories
[2026/5/10 15:47:00] GET /api/categories
[2026/5/10 15:47:00] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:47:00] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:47:00] GET /api/tags
[2026/5/10 15:47:00] GET /api/articles?page=1&pageSize=10
[2026/5/10 15:47:01] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:47:01] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:47:01] GET /api/tags
[2026/5/10 15:47:01] GET /api/articles?category=ai-news&page=1&pageSize=20
[2026/5/10 15:47:01] GET /api/categories
[2026/5/10 15:47:02] GET /api/articles?category=cloud-computing&page=1&pageSize=20
[2026/5/10 15:47:02] GET /api/categories
[2026/5/10 15:47:02] GET /api/articles?category=nvidia-chip&page=1&pageSize=20
[2026/5/10 15:47:02] GET /api/categories
[2026/5/10 15:47:08] GET /api/categories
[2026/5/10 15:47:08] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:47:08] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:47:08] GET /api/tags
[2026/5/10 15:47:08] GET /api/articles?page=1&pageSize=10
[2026/5/10 15:47:10] GET /api/articles?page=1&pageSize=5
[2026/5/10 15:47:10] GET /api/articles?page=1&pageSize=8
[2026/5/10 15:47:10] GET /api/tags
